CustomerID,Age,Gender,Income,CreditScore,MaritalStatus,LoanAmount,LoanStatus
1,56,Male,129952,849,Married,49996,1
2,69,Female,74235,767,Single,49993,1
3,46,Female,78565,369,Single,49993,0
4,32,Female,75342,500,Single,49989,1
5,60,Male,62723,607,Single,49981,0
6,25,Female,55572,551,Divorced,49978,0
7,38,Female,37610,586,Divorced,49974,0
8,56,Female,54052,591,Married,49973,1
9,36,Male,118993,453,Divorced,49959,1
10,40,Male,107063,432,Married,49951,1
11,28,Female,57550,573,Married,49950,1
12,28,Female,74033,808,Single,49949,0
13,41,Female,49011,652,Single,49948,1
14,53,Male,122811,304,Divorced,49948,1
15,57,Male,54764,592,Divorced,49943,1
16,41,Male,117540,659,Divorced,49938,0
17,20,Female,73533,513,Divorced,49934,0
18,39,Male,44064,705,Single,49926,1
19,19,Female,143989,735,Single,49916,1
20,41,Female,147825,314,Divorced,49916,0
21,61,Male,69581,572,Married,49915,0
22,47,Female,140388,344,Single,49911,1
23,55,Male,48702,711,Single,49906,0
24,19,Female,105701,486,Single,49902,0
25,38,Female,143482,469,Single,49898,0
26,50,Male,28631,700,Divorced,49896,0
27,29,Female,143864,545,Divorced,49883,0
28,39,Female,107388,342,Married,49880,0
29,61,Female,144798,478,Single,49876,0
30,42,Female,90043,756,Divorced,49873,1
31,66,Female,86063,834,Divorced,49867,0
32,44,Female,48981,543,Single,49867,1
33,59,Female,55764,316,Divorced,49866,1
34,45,Female,121771,411,Divorced,49866,1
35,33,Male,148787,846,Divorced,49849,1
36,32,Male,70513,329,Married,49847,1
37,64,Female,141505,491,Divorced,49845,1
38,68,Female,149014,736,Single,49843,0
39,61,Male,133076,478,Single,49842,0
40,69,Female,119007,773,Single,49839,1
41,20,Male,86198,433,Divorced,49834,1
42,54,Male,44940,611,Married,49833,0
43,68,Male,127418,324,Divorced,49828,0
44,24,Female,91792,670,Single,49822,1
45,38,Female,48432,824,Married,49820,1
46,26,Female,28367,618,Married,49819,1
47,56,Male,131764,529,Divorced,49813,0
48,35,Male,123601,401,Single,49809,0
49,21,Male,45511,749,Divorced,49799,0
50,42,Female,28573,677,Single,49795,1
51,31,Male,35582,502,Married,49792,0
52,67,Male,25378,566,Divorced,49787,1
53,26,Female,85296,761,Married,49786,1
54,43,Male,33500,664,Single,49765,0
55,19,Male,85841,403,Married,49753,0
56,37,Female,41881,410,Married,49752,0
57,45,Female,90233,727,Married,49752,1
58,64,Male,71542,768,Divorced,49750,0
59,24,Female,85285,549,Single,49748,1
60,61,Male,79547,781,Married,49744,0
61,25,Female,82151,630,Married,49744,1
62,64,Male,27222,500,Married,49734,0
63,52,Female,27933,753,Married,49730,1
64,31,Male,103385,803,Single,49723,0
65,34,Female,109772,845,Single,49723,1
66,53,Female,129767,410,Divorced,49721,0
67,67,Female,118706,843,Single,49720,0
68,57,Female,98437,508,Single,49720,0
69,21,Female,26940,332,Married,49717,0
70,19,Female,134326,406,Divorced,49702,1
71,23,Female,104590,564,Divorced,49691,0
72,59,Male,126399,525,Married,49686,1
73,21,Male,79145,786,Divorced,49678,0
74,46,Female,63610,478,Single,49669,0
75,35,Female,77520,521,Divorced,49667,0
76,43,Male,24544,669,Married,49647,0
77,61,Male,110854,466,Divorced,49638,1
78,51,Female,74812,599,Divorced,49637,1
79,27,Male,91610,680,Divorced,49631,0
80,53,Male,71500,334,Married,49625,1
81,31,Female,59618,706,Single,49625,1
82,48,Female,139090,801,Divorced,49617,0
83,65,Female,119054,613,Single,49616,0
84,32,Male,45444,400,Single,49613,1
85,25,Female,105982,514,Single,49613,1
86,31,Female,114079,361,Divorced,49609,0
87,40,Male,76586,668,Single,49606,0
88,57,Female,44789,667,Divorced,49589,0
89,38,Male,21617,393,Divorced,49582,0
90,33,Male,148639,768,Divorced,49573,0
91,62,Male,120834,325,Single,49572,0
92,35,Male,23333,734,Divorced,49569,0
93,64,Male,60002,420,Married,49567,0
94,41,Male,144477,349,Married,49564,0
95,43,Female,83620,335,Married,49562,0
96,42,Female,107688,709,Divorced,49561,1
97,62,Female,109627,588,Married,49560,1
98,58,Male,20511,678,Divorced,49556,1
99,46,Female,132850,399,Divorced,49555,0
100,32,Male,57850,623,Divorced,49548,1
101,62,Female,141548,628,Single,49544,0
102,18,Male,102172,520,Married,49543,0
103,42,Female,106053,409,Divorced,49541,0
104,24,Male,51786,448,Married,49538,1
105,26,Female,94356,705,Married,49537,0
106,41,Male,56244,709,Single,49532,0
107,18,Female,94714,428,Married,49531,1
108,61,Male,87261,783,Divorced,49515,0
109,25,Female,38477,407,Divorced,49513,1
110,41,Female,66533,688,Married,49513,1
