,CustomerID,Age,Gender,Income,CreditScore,MaritalStatus,LoanAmount,LoanStatus
0,1,56,1,129952,849,1,8092,1
1,2,69,0,74235,767,2,27612,1
2,3,46,0,78565,369,2,41456,0
3,4,32,0,75342,500,2,43773,1
4,5,60,1,62723,607,2,32102,0
5,6,25,0,55572,551,0,4061,0
6,7,38,0,37610,586,0,33001,0
7,8,56,0,54052,591,1,11586,1
8,9,36,1,118993,453,0,29943,1
9,10,40,1,107063,432,1,10476,1
10,11,28,0,57550,573,1,25971,1
11,12,28,0,74033,808,2,4763,0
12,13,41,0,49011,652,2,46209,1
13,14,53,1,122811,304,0,25078,1
14,15,57,1,54764,592,0,36656,1
15,16,41,1,117540,659,0,10914,0
16,17,20,0,73533,513,0,5006,0
17,18,39,1,44064,705,2,18470,1
18,19,19,0,143989,735,2,7499,1
19,20,41,0,147825,314,0,35072,0
20,21,61,1,69581,572,1,12304,0
21,22,47,0,140388,344,2,31235,1
22,23,55,1,48702,711,2,23894,0
23,24,19,0,105701,486,2,18398,0
24,25,38,0,143482,469,2,46332,0
25,26,50,1,28631,700,0,25796,0
26,27,29,0,143864,545,0,12997,0
27,28,39,0,107388,342,1,31780,0
28,29,61,0,144798,478,2,43086,0
29,30,42,0,90043,756,0,28832,1
30,31,66,0,86063,834,0,27506,0
31,32,44,0,48981,543,2,44082,1
32,33,59,0,55764,316,0,9664,1
33,34,45,0,121771,411,0,38888,1
34,35,33,1,148787,846,0,31164,1
35,36,32,1,70513,329,1,31060,1
36,37,64,0,141505,491,0,14985,1
37,38,68,0,149014,736,2,37880,0
38,39,61,1,133076,478,2,18917,0
39,40,69,0,119007,773,2,2462,1
40,41,20,1,86198,433,0,47958,1
41,42,54,1,44940,611,1,25082,0
42,43,68,1,127418,324,0,2865,0
43,44,24,0,91792,670,2,37777,1
44,45,38,0,48432,824,1,12322,1
45,46,26,0,28367,618,1,27312,1
46,47,56,1,131764,529,0,28762,0
47,48,35,1,123601,401,2,15538,0
48,49,21,1,45511,749,0,8710,0
49,50,42,0,28573,677,2,26047,1
50,51,31,1,35582,502,1,4177,0
51,52,67,1,25378,566,0,28502,1
52,53,26,0,85296,761,1,20249,1
53,54,43,1,33500,664,2,4197,0
54,55,19,1,85841,403,1,36229,0
55,56,37,0,41881,410,1,25166,0
56,57,45,0,90233,727,1,47754,1
57,58,64,1,71542,768,0,4581,0
58,59,24,0,85285,549,2,9692,1
59,60,61,1,79547,781,1,41762,0
60,61,25,0,82151,630,1,33888,1
61,62,64,1,27222,500,1,2775,0
62,63,52,0,27933,753,1,33656,1
63,64,31,1,103385,803,2,1606,0
64,65,34,0,109772,845,2,8375,1
65,66,53,0,129767,410,0,1819,0
66,67,67,0,118706,843,2,12456,0
67,68,57,0,98437,508,2,32373,0
68,69,21,0,26940,332,1,1783,0
69,70,19,0,134326,406,0,8560,1
70,71,23,0,104590,564,0,30168,0
71,72,59,1,126399,525,1,1391,1
72,73,21,1,79145,786,0,25264,0
73,74,46,0,63610,478,2,34900,0
74,75,35,0,77520,521,0,11709,0
75,76,43,1,24544,669,1,38213,0
76,77,61,1,110854,466,0,14062,1
77,78,51,0,74812,599,0,47801,1
78,79,27,1,91610,680,0,11388,0
79,80,53,1,71500,334,1,48359,1
80,81,31,0,59618,706,2,29036,1
81,82,48,0,139090,801,0,6318,0
82,83,65,0,119054,613,2,31544,0
83,84,32,1,45444,400,2,21823,1
84,85,25,0,105982,514,2,40019,1
85,86,31,0,114079,361,0,17978,0
86,87,40,1,76586,668,2,29460,0
87,88,57,0,44789,667,0,45111,0
88,89,38,1,21617,393,0,4324,0
89,90,33,1,148639,768,0,23552,0
90,91,62,1,120834,325,2,3934,0
91,92,35,1,23333,734,0,6033,0
92,93,64,1,60002,420,1,40531,0
93,94,41,1,144477,349,1,7086,0
94,95,43,0,83620,335,1,38101,0
95,96,42,0,107688,709,0,44945,1
96,97,62,0,109627,588,1,27939,1
97,98,58,1,20511,678,0,19894,1
98,99,46,0,132850,399,0,5687,0
99,100,32,1,57850,623,0,3887,1
100,101,62,0,141548,628,2,4043,0
101,102,18,1,102172,520,1,19015,0
102,103,42,0,106053,409,0,18789,0
103,104,24,1,51786,448,1,7115,1
104,105,26,0,94356,705,1,29821,0
105,106,41,1,56244,709,2,23879,0
106,107,18,0,94714,428,1,33717,1
107,108,61,1,87261,783,0,42179,0
108,109,25,0,38477,407,0,41971,1
109,110,41,0,66533,688,1,36610,1
110,111,28,0,54469,724,1,6504,0
111,112,68,1,28496,746,2,9649,1
112,113,34,1,140522,367,0,27848,1
113,114,25,1,32270,365,1,25742,0
114,115,52,1,96008,803,1,16675,0
115,116,52,1,40724,803,0,41051,0
116,117,50,0,50416,620,1,47917,0
117,118,22,1,55575,746,2,35741,1
118,119,59,0,101190,509,1,27520,0
119,120,56,0,96614,669,1,15833,1
120,121,58,1,113566,757,2,8574,0
121,122,45,0,140989,462,2,9143,1
122,123,24,1,93108,631,2,24936,0
123,124,26,1,37408,649,0,37596,1
124,125,25,1,147192,767,1,22469,0
125,126,29,0,39359,725,1,49538,1
126,127,51,1,28698,626,2,38505,0
127,128,50,1,90392,405,0,17623,1
128,129,65,1,113063,554,2,36720,0
129,130,40,0,59492,657,1,12630,0
130,131,41,1,94781,743,0,18239,0
131,132,54,0,63634,412,0,32023,0
132,133,52,0,137255,329,1,28240,0
133,134,61,1,62864,823,0,37006,1
134,135,57,0,114482,345,0,1553,1
135,136,39,0,57355,470,2,25518,1
136,137,44,1,57690,429,0,44773,0
137,138,52,1,57814,652,2,43845,0
138,139,18,1,51645,502,0,14612,1
139,140,52,0,104814,525,2,12137,0
140,141,54,1,92739,379,2,26804,1
141,142,64,0,76630,609,0,42154,0
142,143,31,0,68171,334,2,41106,1
143,144,20,0,41658,460,1,33505,1
144,145,18,0,143980,734,1,45647,1
145,146,22,0,146541,837,0,10617,0
146,147,43,1,128132,524,0,16398,1
