Hours_Studied,Attendance,Internal_Marks,Result
6,65,98,0
3,92,82,0
7,72,76,1
4,60,64,0
6,98,80,1
9,53,90,0
2,97,44,0
6,93,53,1
7,72,39,0
4,80,75,0
3,80,48,0
7,54,71,0
7,76,47,0
2,78,35,0
5,62,45,0
4,94,54,0
1,84,99,0
7,58,79,0
5,99,63,1
1,67,85,0
4,64,91,0
0,73,34,0
9,80,42,0
5,96,95,1
8,56,58,0
0,58,100,0
9,65,87,0
2,83,56,0
6,81,53,1
3,72,85,0
8,69,66,0
2,94,51,0
4,85,96,0
2,95,88,0
6,58,75,0
4,63,57,0
8,92,40,0
6,69,98,0
1,62,49,0
3,66,62,0
8,71,52,1
1,54,92,0
9,85,89,1
8,81,60,1
9,78,86,1
4,94,79,0
1,61,71,0
3,84,53,0
6,53,65,0
7,66,99,0
2,70,81,0
0,67,47,0
3,96,63,0
1,88,42,0
7,58,77,0
3,63,32,0
1,91,52,0
5,91,52,1
5,100,82,1
9,73,59,1
3,62,44,0
5,84,48,0
1,65,59,0
9,92,76,1
1,53,57,0
9,52,92,0
3,83,80,0
7,64,80,0
6,80,88,1
8,50,87,0
7,50,72,0
4,82,57,0
1,75,72,0
4,91,82,0
7,50,58,0
9,65,77,0
8,86,85,1
8,99,92,1
0,84,96,0
8,57,73,0
6,96,44,0
8,84,94,1
7,100,68,1
0,51,78,0
7,93,58,1
7,67,55,0
2,59,52,0
0,59,70,0
7,94,77,1
2,61,60,0
2,88,84,0
0,73,52,0
4,97,40,0
9,71,69,1
6,90,66,1
9,54,38,0
8,71,100,1
6,53,47,0
8,90,35,0
7,67,51,0
1,79,64,0
0,95,61,0
6,82,47,0
6,71,51,1
7,55,66,0
4,87,59,0
2,95,62,0
7,97,74,1
5,87,68,1
2,60,95,0
0,95,38,0
2,90,90,0
4,56,30,0
2,73,82,0
0,57,75,0
4,61,36,0
9,59,73,0
6,60,74,0
6,69,33,0
8,87,73,1
9,93,48,0
9,72,94,1
2,71,54,0
6,94,48,0
0,71,93,0
3,88,76,0
3,90,55,0
4,52,73,0
6,84,57,1
6,65,83,0
3,67,82,0
6,62,76,0
2,71,69,0
5,58,79,0
1,55,46,0
9,96,94,1
8,58,30,0
4,67,83,0
5,94,100,1
3,82,54,0
9,87,97,1
6,100,57,1
8,71,68,1
6,82,52,1
0,93,60,0
0,78,88,0
8,65,95,0
8,53,31,0
3,85,57,0
8,59,47,0
2,81,83,0
6,81,55,1
5,63,38,0
7,69,68,0
8,67,82,0
4,52,35,0
0,55,66,0
2,67,76,0
9,81,76,1
7,58,83,0
5,75,77,1
7,94,75,1
8,100,64,1
3,91,85,0
0,97,37,0
0,68,39,0
9,55,94,0
3,51,76,0
6,77,73,1
1,97,61,0
2,69,45,0
0,63,62,0
4,82,55,0
0,53,79,0
7,77,51,1
0,86,63,0
0,91,74,0
1,79,49,0
1,67,36,0
5,58,92,0
6,56,46,0
4,85,84,0
0,64,43,0
0,76,45,0
2,98,64,0
1,54,44,0
4,92,86,0
9,87,99,1
5,54,49,0
6,71,85,1
3,72,79,0
6,62,62,0
7,55,57,0
0,96,41,0
5,94,80,1
7,94,41,0
4,91,32,0
3,83,100,0
1,51,32,0
5,58,89,0
5,71,95,1
0,75,83,0
8,69,61,0
5,59,100,0
2,70,58,0
3,60,96,0
3,89,46,0
2,70,44,0
9,67,65,0
2,51,86,0
2,85,51,0
3,78,69,0
6,99,96,1
3,71,99,0
8,65,95,0
0,73,67,0
7,51,60,0
6,80,100,1
1,75,43,0
7,56,37,0
0,85,68,0
8,86,61,1
8,67,66,0
1,76,39,0
6,79,45,0
9,59,100,0
2,90,39,0
6,80,99,1
9,65,31,0
8,68,45,0
3,98,65,0
0,85,37,0
1,82,73,0
0,55,95,0
4,65,84,0
4,94,36,0
6,53,42,0
8,58,38,0
8,74,97,1
2,72,34,0
2,53,84,0
2,54,49,0
3,75,93,0
7,76,47,0
5,53,79,0
7,70,83,0
0,74,72,0
7,60,81,0
3,80,73,0
0,66,47,0
7,56,35,0
3,90,93,0
5,76,64,1
7,98,77,1
3,100,38,0
2,62,92,0
8,80,92,1
2,53,99,0
8,58,39,0
1,92,67,0
1,94,46,0
1,79,98,0
5,73,59,1
2,97,93,0
8,91,50,0
3,53,41,0
0,52,44,0
3,88,95,0
0,78,85,0
4,70,70,0
3,61,49,0
7,67,57,0
7,54,90,0
6,72,95,1
2,66,54,0
0,86,49,0
0,80,31,0
2,61,81,0
5,97,69,1
6,97,41,0
5,71,99,1
5,88,74,1
5,94,42,0
2,54,66,0
5,100,87,1
7,69,46,0
1,65,56,0
4,59,47,0
0,61,50,0
0,55,43,0
4,72,37,0
2,74,88,0
3,70,89,0
2,68,93,0
0,83,68,0
0,89,41,0
4,69,99,0
5,90,84,1
2,52,54,0
8,56,64,0
4,52,71,0
7,92,49,0
0,93,88,0
4,94,77,0
2,53,32,0
0,83,98,0
3,55,45,0
4,70,88,0
6,93,50,0
0,91,44,0
2,53,67,0
1,98,75,0
8,61,71,0
9,100,72,1
5,70,66,0
9,96,89,1
2,83,92,0
7,56,84,0
7,100,88,1
1,89,67,0
5,99,92,1
6,95,45,0
1,89,77,0
9,70,33,0
1,74,87,0
9,55,56,0
0,76,56,0
7,84,82,1
0,93,55,0
8,50,58,0
5,66,68,0
6,54,55,0
9,93,40,0
6,81,93,1
9,67,37,0
2,94,42,0
1,90,79,0
8,84,30,0
7,85,94,1
9,91,72,1
6,59,37,0
8,51,62,0
3,67,85,0
3,84,48,0
0,92,50,0
7,71,51,1
2,54,51,0
6,96,80,1
1,73,78,0
1,81,37,0
6,98,97,1
5,83,36,0
2,86,90,0
8,98,43,0
9,60,99,0
5,59,85,0
9,72,67,1
9,100,60,1
5,87,51,1
0,59,79,0
3,92,30,0
9,56,71,0
5,97,75,1
5,62,94,0
4,72,56,0
0,60,78,0
7,84,88,1
4,57,31,0
4,72,48,0
6,85,40,0
3,56,61,0
5,59,79,0
3,61,96,0
2,80,58,0
6,60,85,0
7,86,48,0
3,75,88,0
1,54,60,0
9,100,30,0
2,96,80,0
0,56,83,0
7,85,79,1
2,56,97,0
9,88,100,1
6,91,53,1
9,85,53,1
4,99,40,0
9,55,60,0
4,70,75,0
6,50,99,0
8,51,83,0
4,52,42,0
0,88,94,0
9,83,55,1
9,63,59,0
0,74,89,0
1,86,49,0
5,86,43,0
8,65,90,0
7,64,66,0
4,97,54,0
0,73,72,0
6,90,99,1
4,57,74,0
5,51,66,0
6,91,73,1
2,75,48,0
9,67,55,0
2,67,79,0
4,68,31,0
5,86,39,0
8,82,63,1
4,81,99,0
0,74,58,0
3,76,76,0
4,70,47,0
9,72,99,1
9,60,53,0
4,70,49,0
6,92,61,1
3,80,55,0
0,84,72,0
4,84,93,0
6,65,32,0
9,96,57,1
9,80,36,0
5,62,69,0
4,91,97,0
3,68,60,0
1,59,57,0
3,97,66,0
9,87,36,0
9,54,77,0
2,96,70,0
9,98,72,1
0,53,100,0
7,89,88,1
4,61,66,0
3,94,33,0
7,90,74,1
6,75,64,1
1,96,49,0
0,92,60,0
3,64,30,0
7,81,75,1
1,78,100,0
2,79,85,0
0,78,82,0
0,76,75,0
2,64,38,0
4,85,84,0
2,77,100,0
0,65,98,0
0,59,69,0
7,83,78,1
9,61,56,0
1,74,31,0
2,57,44,0
1,98,88,0
2,81,33,0
6,73,92,1
0,54,48,0
9,68,60,0
7,60,83,0
9,66,41,0
9,77,83,1
9,73,64,1
1,87,82,0
2,61,93,0
8,80,45,0
6,56,90,0
3,97,61,0
9,52,37,0
4,61,65,0
1,75,38,0
7,89,84,1
3,52,93,0
8,96,80,1
4,87,60,0
8,78,36,0
3,89,31,0
9,93,84,1
4,94,38,0
8,70,41,0
7,98,82,1
2,98,45,0
0,78,95,0
2,78,66,0
3,95,35,0
1,75,78,0
0,65,40,0
6,60,45,0
7,87,100,1
6,75,51,1
4,79,89,0
0,91,37,0
6,88,35,0
6,72,64,1
8,58,49,0
2,77,90,0
8,71,65,1
0,91,75,0
0,77,40,0
3,61,48,0
8,68,65,0
5,93,44,0
2,68,95,0
0,96,35,0
3,69,75,0
8,87,41,0
2,96,71,0
8,69,42,0
6,97,72,1
3,51,82,0
2,72,51,0
9,67,65,0
4,70,35,0
4,80,35,0
2,54,76,0
8,57,99,0
3,92,71,0
4,64,83,0
3,86,99,0
4,63,95,0
6,77,64,1
8,59,42,0
6,55,76,0
4,95,83,0
9,69,95,0
9,53,71,0
6,95,68,1
9,52,59,0
4,80,40,0
2,99,88,0
6,69,63,0
1,92,84,0
8,74,61,1
9,74,49,0
9,61,83,0
0,97,32,0
5,69,40,0
6,90,95,1
7,92,80,1
9,77,83,1
8,80,62,1
1,58,62,0
9,58,45,0
1,88,73,0
4,58,48,0
4,82,49,0
5,85,72,1
2,87,52,0
7,71,56,1
0,92,50,0
5,98,33,0
3,50,44,0
0,63,66,0
6,66,86,0
8,73,81,1
3,98,39,0
3,58,74,0
5,59,68,0
2,67,81,0
5,58,87,0
6,62,74,0
9,92,36,0
9,83,64,1
2,53,39,0
6,92,56,1
2,80,32,0
1,80,87,0
9,76,81,1
3,90,71,0
7,74,79,1
8,73,83,1
6,61,70,0
0,70,84,0
2,66,57,0
8,51,95,0
0,77,87,0
8,63,74,0
7,58,51,0
0,53,81,0
5,54,56,0
4,98,32,0
5,62,95,0
9,70,74,0
4,63,88,0
5,67,40,0
4,58,38,0
4,75,63,0
3,91,50,0
2,93,63,0
2,76,88,0
3,90,95,0
8,70,87,0
1,79,74,0
8,93,77,1
0,59,58,0
0,81,71,0
4,55,37,0
5,75,65,1
5,73,65,1
2,90,71,0
6,95,80,1
8,63,53,0
9,94,30,0
7,75,46,0
5,85,43,0
7,56,50,0
4,86,85,0
7,85,50,0
9,99,46,0
3,51,48,0
9,78,36,0
7,69,98,0
9,91,45,0
1,89,88,0
4,58,87,0
8,80,99,1
3,70,43,0
5,84,38,0
0,78,30,0
8,67,86,0
0,79,51,0
4,62,49,0
3,60,60,0
2,74,77,0
5,75,93,1
1,69,33,0
2,74,57,0
4,59,37,0
8,62,99,0
1,81,80,0
9,84,97,1
7,74,36,0
1,73,35,0
4,78,76,0
6,84,50,0
7,98,56,1
0,70,52,0
5,61,46,0
0,94,40,0
1,97,50,0
0,100,54,0
4,56,39,0
9,56,62,0
8,70,35,0
5,66,54,0
0,96,93,0
0,53,68,0
1,94,67,0
8,98,86,1
2,82,94,0
0,57,56,0
4,67,90,0
6,65,85,0
5,80,75,1
0,97,34,0
4,90,65,0
4,66,98,0
5,78,37,0
2,90,40,0
4,66,98,0
6,75,100,1
4,59,67,0
4,64,50,0
4,80,92,0
9,89,56,1
9,98,53,1
2,57,61,0
0,98,48,0
4,94,64,0
8,89,98,1
0,51,82,0
2,64,82,0
3,73,85,0
0,77,52,0
0,55,44,0
7,89,91,1
1,52,94,0
7,65,56,0
6,51,35,0
9,59,45,0
9,52,52,0
1,60,66,0
5,96,60,1
5,74,81,1
2,51,87,0
1,58,69,0
0,68,86,0
5,98,36,0
4,79,58,0
8,50,99,0
0,72,95,0
6,89,32,0
4,50,90,0
4,60,89,0
1,65,42,0
2,78,98,0
6,88,65,1
5,96,83,1
1,56,60,0
5,87,47,0
1,53,34,0
1,85,38,0
1,59,48,0
2,73,40,0
1,79,41,0
3,100,74,0
8,59,65,0
5,93,93,1
0,90,62,0
7,56,36,0
6,82,31,0
9,69,33,0
2,55,98,0
0,71,72,0
4,65,80,0
3,65,91,0
9,83,88,1
7,72,95,1
0,52,57,0
9,71,90,1
0,77,35,0
3,68,51,0
7,87,72,1
4,91,46,0
1,89,62,0
5,70,56,0
4,82,83,0
1,52,36,0
2,82,79,0
8,57,37,0
6,88,88,1
6,60,89,0
5,91,33,0
7,77,48,0
3,77,41,0
7,78,64,1
3,69,90,0
7,92,41,0
8,80,87,1
2,66,59,0
2,63,43,0
1,85,73,0
9,82,79,1
2,70,59,0
2,86,38,0
4,83,59,0
4,91,43,0
1,67,73,0
9,58,33,0
5,67,63,0
4,54,94,0
5,61,94,0
0,97,46,0
4,51,80,0
8,51,33,0
9,70,92,0
1,65,73,0
0,85,39,0
9,84,48,0
8,69,94,0
9,83,30,0
8,83,62,1
8,69,88,0
5,61,48,0
7,94,46,0
0,100,62,0
9,72,42,0
3,82,79,0
0,56,74,0
7,100,39,0
0,94,39,0
2,53,83,0
3,97,43,0
7,99,32,0
5,64,99,0
9,60,56,0
6,54,37,0
7,63,56,0
1,92,86,0
9,99,62,1
7,89,41,0
2,58,73,0
6,93,82,1
2,81,91,0
6,70,83,0
1,74,45,0
9,67,54,0
5,60,72,0
2,86,41,0
2,80,83,0
8,80,37,0
6,90,46,0
4,89,63,0
9,67,95,0
6,71,91,1
8,66,99,0
0,94,83,0
6,72,64,1
5,87,67,1
9,77,57,1
8,56,93,0
0,83,88,0
3,51,82,0
8,93,100,1
3,51,40,0
9,71,78,1
2,50,96,0
8,83,46,0
1,86,36,0
3,60,45,0
5,76,34,0
1,63,98,0
7,57,72,0
7,66,94,0
0,62,35,0
2,89,42,0
9,96,70,1
8,56,52,0
4,64,57,0
5,90,37,0
3,95,43,0
9,64,33,0
1,92,98,0
7,85,33,0
5,63,55,0
4,79,64,0
8,96,36,0
0,85,72,0
4,63,66,0
5,53,40,0
4,58,52,0
5,82,58,1
5,57,51,0
6,64,72,0
3,87,81,0
7,78,52,1
6,50,33,0
8,87,91,1
6,76,62,1
2,63,69,0
2,57,91,0
7,56,67,0
4,73,75,0
3,65,68,0
7,50,41,0
5,91,78,1
1,61,38,0
3,90,56,0
3,59,35,0
5,91,69,1
5,84,67,1
0,83,90,0
7,58,60,0
5,98,61,1
2,71,44,0
8,86,63,1
1,61,37,0
7,85,56,1
9,91,90,1
2,81,33,0
4,66,72,0
5,51,42,0
9,80,91,1
5,69,52,0
3,87,97,0
2,54,46,0
3,57,56,0
0,65,47,0
3,81,45,0
0,52,52,0
0,58,88,0
9,85,37,0
5,82,76,1
4,55,72,0
3,81,61,0
2,67,62,0
0,53,53,0
5,93,43,0
1,95,44,0
7,77,63,1
9,84,47,0
4,100,44,0
6,83,47,0
9,83,35,0
1,98,57,0
7,86,63,1
1,82,49,0
3,65,57,0
0,87,60,0
4,86,37,0
8,93,76,1
0,66,34,0
8,72,70,1
7,60,70,0
5,100,51,1
6,83,99,1
2,74,53,0
0,97,93,0
4,68,49,0
1,57,98,0
4,53,62,0
7,55,64,0
8,73,52,1
1,69,37,0
2,52,80,0
2,90,45,0
0,72,45,0
7,68,73,0
5,50,95,0
7,52,81,0
8,72,75,1
4,50,54,0
2,96,96,0
4,54,80,0
4,77,44,0
4,97,33,0
2,54,30,0
9,68,83,0
3,93,84,0
8,62,45,0
9,79,38,0
8,57,30,0
1,66,70,0
7,74,73,1
7,61,77,0
6,95,66,1
7,78,43,0
2,92,57,0
5,50,46,0
0,51,62,0
6,97,73,1
0,83,94,0
8,82,98,1
0,50,74,0
0,59,66,0
6,67,36,0
1,71,97,0
4,80,53,0
7,51,61,0
7,72,91,1
2,52,58,0
6,95,70,1
2,93,87,0
5,73,56,1
5,74,74,1
2,90,64,0
6,62,74,0
2,59,84,0
7,55,78,0
9,54,36,0
3,99,80,0
0,88,40,0
3,65,71,0
6,92,71,1
3,70,38,0
5,91,65,1
8,89,71,1
0,54,81,0
4,82,75,0
